comments,polaridade
leo.dumess,neutro
Teste de publicação,neutro
que incrível,positivo
Bela Imagem,neutro
mais ou menos,neutro
dá pra usar,neutro
Coisa estranha,neutro
Horroroso,negativo
Horrível,negativo
